gene,log2FC,pvalue,adjusted_pvalue
AKR1B1,-1.24012465859858,0.0017101888280276372,0.011329934316348737
ALAS2,1.029433847641143,0.000751927863443475,0.007938238506964679
ALDH1A2,-1.0594103487066049,3.0665268829792286e-06,0.0001649852947291105
ALDH2,-1.1159079037429858,3.371054178395697e-06,0.00017730627245305557
ALDH3A2,-1.3850668711285232,5.576945367622854e-09,1.735076611692171e-06
ALKBH2,1.3002746888716308,5.128554422971753e-07,4.5120769589317466e-05
ALOX12P2,-1.2802340153879581,0.00019568963209476192,0.003320845321880043
AMACR,1.2792900423692022,1.8434087661243637e-07,2.3277915283759833e-05
AMT,-1.0256676818441923,0.0012727796120098702,0.010076508467121008
ANG,-1.2803213239407287,2.185340042228611e-08,4.787009661889958e-06
ANKRD34C,1.027165019126282,0.0016744560392107553,0.01121895998556095
ANKRD65,-1.1393243917624816,0.0005610843911960182,0.006698998123362026
ANKS1A,1.2639315940866713,0.0010353505167904182,0.009197770382723083
ANKS3,1.3345989517281143,0.00037011595345918846,0.005146190311800219
ANO5,-1.267116359861308,0.00016806714652381824,0.002999083486639074
ANOS1,-1.165003972126849,3.135548884170459e-05,0.0008787314346799901
ANOS2P,1.0406614686786497,0.0011501382750767348,0.009627866178062765
ANP32E,-1.0619036181590986,1.6666351276670484e-05,0.000550425481317362
ANTKMT,1.2746515796462177,0.00031103520992736844,0.004557674301372572
ANTXR2,-1.3531044621442176,1.9590167562370928e-08,4.473852415546986e-06
ANXA1,-1.3055943638811485,7.07821824104513e-06,0.0003008088460127993
ANXA2,-1.5626084729549925,2.5562535136071085e-11,2.442104092689167e-08
ANXA2P2,-1.399604324110957,1.1034334752504565e-08,3.0368469760514806e-06
AOC1,-1.6266683599062208,5.21354400438306e-05,0.0012603507786271527
AOX1,-1.676229899458527,3.3781276113709286e-06,0.00017730627245305557
APCDD1,-1.4611994395126398,1.9026246662759724e-07,2.360904260748341e-05
APMAP,1.2966372774422412,4.22510579123588e-06,0.00020802831656068955
APOA5,1.0058583991683232,0.0015639585770509286,0.010939556459287157
APOB,1.0469245669690455,0.0003463033822377184,0.004923241527481524
APOBEC3C,-1.3314061045393644,0.0014058407913884227,0.010505320441054027
APOC1,1.160816325898858,5.482431444471632e-05,0.0013135195961883094
APOF,1.1783909162791104,4.468938332950683e-08,8.061739428021203e-06
AQP8,1.11480878697254,0.0007426432818880597,0.007899021322142178
ARFGEF3,1.1570807956465359,1.690345477827871e-05,0.0005570027997552229
ARHGAP32,1.3350677513091476,2.0032183077809294e-06,0.00012012035590260675
ARHGEF26,1.466654288441038,3.053696329998796e-08,6.014100836337996e-06
ARHGEF38,1.097615078704939,4.701267444304269e-06,0.00022477084237612413
ARHGEF5,-1.0335749563590864,0.0018928682870878023,0.011877872995882449
ARL4C,-1.1289918814257247,0.00010491638649532103,0.0021247547819764684
ARLNC1,1.1434709503819012,9.899904315684616e-08,1.4465458412295753e-05
ARMCX1,-1.3016392851642258,4.8452439710289624e-09,1.62520081759498e-06
ARMCX5-GPRASP2,-1.0701387159253763,0.00013637653736673226,0.00257710838701729
ARRDC1,1.2017550216555626,0.0016787081544002928,0.011229924571676873
ARVCF,1.1810883301060122,5.089175057172783e-05,0.0012386544325660785
ASAP3,-1.0026577854357648,0.00019178716137261407,0.003298954321463066
ASPN,1.1854400185816323,3.148370400565346e-06,0.00016854380894996583
ATG5,-1.0477953155593185,9.900798039708239e-05,0.002043657995369392
ATP11B,1.1702384781757162,2.9117308654361077e-06,0.0001594544043069309
ATP1B2,-1.154425555788408,0.0013979290521129847,0.010489193557931025
ATP5F1D,1.3600705807985087,3.958027788767742e-06,0.00019852098724644184
ATP5ME,1.0637364080317195,8.347341826785513e-06,0.0003355662677820311
ATP6V0D1,-1.1693683376542419,1.2199873910189186e-06,8.20986499153703e-05
ATP6V0E2,1.1704475337985796,7.335722631154243e-06,0.00030877638769213363
ATP8B4,-1.3994828786730433,0.002573833403885071,0.013780560462177429
ATXN3L,1.016268975671864,0.0014640880943480041,0.010669316659922939
AUP1,1.0987153362569155,8.925380367449648e-05,0.0019008049637702538
AVPI1,-1.739932445643196,5.0555457837956e-06,0.00023799868715074592
B3GAT1,1.3626497852513264,3.91712837685934e-10,2.2128682859484067e-07
B4GALNT2,1.016769956963824,0.000974296982466953,0.008894443266954849
B4GALT2,1.5602426680961652,5.95787248513242e-05,0.0013989267075131889
BAG3,-1.0499115616678474,0.000568103310372768,0.006752754022022265
BAG6,1.0917227042154187,0.00012670528038135167,0.002459296793803324
BBS5,-1.224296436515268,0.004060858711410765,0.017738724276707068
BCL11A,-1.4861193112874085,3.7189306299802e-06,0.00019099110965020325
BCL9,1.1972783899144752,8.357695070863629e-05,0.0018122690917800961
BDH2,-1.118041394641925,0.00040418096999629246,0.005467965416857003
BEND4,1.338134444564189,1.058593650925346e-08,2.9512766109629097e-06
BEX1,-1.656792446477707,2.3538599044241423e-07,2.685301717663943e-05
BEX2,-1.069971249513055,6.996102975315566e-06,0.0002979954782031369
BEX3,-1.004409117969215,0.0005984984308766862,0.00695989480803349
BICD1,1.3095289574794722,4.510361287014269e-10,2.4826647627778283e-07
BIK,1.1971895553908096,5.660628934954667e-05,0.0013454792738209196
BNIP3L,-1.1603778200546597,2.6030209694486435e-07,2.8655923667258475e-05
